name,movie_id
星球大战,1293838
纳尼亚传奇1：狮子、女巫和魔衣橱,1309052
匹诺曹,26886204
岁月的童话,1291588
革命之路,2037012
歌舞青春,1765009
夺宝联盟,5502697
鬼妈妈,1919245
天使陷落,26900949
登堂入室,6537486
重返十七岁,2213591
十一罗汉,1301578
里约大冒险2,11443314
名侦探柯南：第十一名前锋,6984051
名侦探柯南：异次元的狙击手,25782633
电锯惊魂2,1309045
现在去见你,27018285
敢死队2,6040982
破·局,26760160
伴我同行,1292925
年轻气盛,25766754
跛豪,1296272
女性瘾者：第一部,6827727
海扁王,3148748
东方快车谋杀案,1292699
监狱风云2：逃犯,1294019
痞子英雄2：黎明升起,25709273
攻壳机动队,1291936
潜伏2,10485526
暴力街区,1292326
半生缘,1299624
十二罗汉,1292344
无敌幸运星,1400668
钟馗伏魔：雪妖魔灵,25713420
我能说,27000061
绿灯侠,2364054
举起手来2：追击阿多丸号,4926002
欧洲攻略,26351812
新天龙八部之天山童姥,1297517
玩命快递2,1419974
黄飞鸿之西域雄狮,1292843
有种你爱我,24743712
风云雄霸天下,1295469
十兄弟,1460996
跳出我天地,1301169
共同警备区,1306664
擦一擦你那满腹经纶的道貌岸然,32489562
民间奇异志,35041898
异次元骇客,1300282
地心历险记,2037833
双龙会,1296978
闺蜜,25777330
热天午后,1293374
妈阁是座城,26304201
怪物史瑞克3,1433673
可爱的骨头,1892531
科洛弗道10号,2977957
妈妈咪鸭,26603666
0,14
尖峰时刻2,1304642
单身男女2,21359619
东京教父,1310177
华盛顿邮报,26990609
穿靴子的猫,2028585
鼠来宝,2139553
从宫本到你,30426519
醉拳2,1307319
星球大战2：帝国反击战,1296528
续命之徒：绝命毒师电影,30372377
像素大战,25838463
鬼吹灯之龙岭神宫,35023737
